modelo_id,fold,mae,r2
61,2,0.9158063091046788,0.055426459978342946
61,3,0.9159197050165095,0.01063778504792956
61,4,0.9601987790460542,0.020375155533879807
61,5,0.8646773853095927,0.07392762184287549
62,1,0.863465310538768,-0.018613834984743338
62,2,0.9158307808309873,0.055373503621133024
62,3,0.9152913456480707,0.011251426657418628
62,4,0.9596300591985427,0.02111022535847218
62,5,0.8639607949412829,0.07189385656797131
63,1,0.8463689783731602,-0.0020087817411456044
63,2,0.9230477361046423,0.01583848583979952
63,3,0.9134665703810183,0.011588136742205823
63,4,0.9577535042141103,0.026628003380601006
63,5,0.8689079613506088,0.04052791273898082
64,1,0.8470637192975099,0.0005894832042238063
64,2,0.9305512573366591,0.013243712343698033
64,3,0.9106409903798108,0.013053512997313166
64,4,0.9521149440533425,0.029613685518546484
64,5,0.8605610197365937,0.05026580308674666
65,1,0.8381346851894562,0.015573569594212633
65,2,0.9124273648994856,0.0313313633879867
65,3,0.9192436264132728,0.018759887404627973
65,4,0.942007380048184,0.05527937986921816
65,5,0.8841137458996253,0.03314492482112896
66,1,0.8380006507775296,0.02339920294564557
66,2,0.9276072893555002,0.002240942001709545
66,3,0.9193376887694521,0.02014083763906871
66,4,0.9382032084707206,0.06305303937916418
66,5,0.8794964812179769,0.03927059399063071
67,1,0.8491889647570863,-0.021395359542319747
67,2,0.9165117377123025,0.02619032496498308
67,3,0.8953499857314324,0.05040291605641445
67,4,0.954048035096102,0.0399784327499918
67,5,0.8898984714805582,0.008659825035606028
68,1,0.8482387587639304,-0.021239336716133206
68,2,0.9176159834846656,0.02261033491424591
68,3,0.909430726396839,0.022870966349712862
68,4,0.9538162075488504,0.03967613202141873
68,5,0.8899063900871043,0.008008447507332761
69,1,0.8574431664465256,-0.032846047484544894
69,2,0.9243198542433798,0.03317536837997537
69,3,0.9548048452332553,-0.018958146221220717
69,4,0.9621018272089821,-0.0010960702808957556
69,5,0.8702222152538032,0.033577794870215505
70,1,0.8591423420236538,-0.04639674718592168
70,2,0.927167174740709,0.027249456967879726
70,3,0.9598849707825488,-0.027209588314547783
70,4,0.9621763142590015,-0.001161377672962205
70,5,0.8735502910829773,0.02364562729130837
71,1,0.8542575426510256,-0.008732512830948336
71,2,0.9095318450016588,0.05767725431300608
71,3,0.965302938447256,-0.01459719194607878
71,4,0.9488472652078662,0.037634390673623286
71,5,0.8784966128549141,0.038609884732759725
72,1,0.8537306848326458,-0.008293834187663274
72,2,0.9123423023999704,0.05038810353068912
72,3,0.9690266669081603,-0.01957281678359446
72,4,0.9475052108385442,0.03923103965944341
72,5,0.8872812242361308,0.0185228547438
73,1,0.8588465940312464,-0.05636273207744491
73,2,0.922625938510552,0.040671206724543274
73,3,0.9445443763161155,0.004656865825938938
73,4,0.9592179155900087,0.011512863538674645
73,5,0.8834251895571863,0.00413940895814624
74,1,0.8588465940312464,-0.05636273207744491
74,2,0.922625938510552,0.040671206724543274
74,3,0.9445443763161155,0.004656865825938938
74,4,0.9592179155900087,0.011512863538674645
74,5,0.8834251895571863,0.00413940895814624
75,1,0.8401012722369313,0.004638058174066373
75,2,0.9231628628923891,0.01680599017467932
75,3,0.9607894421153915,-0.019185421506308975
75,4,0.943953416218634,0.03632190781655342
75,5,0.886298316695042,0.005272221360383633
76,1,0.8433361980450691,-0.02051144825133977
76,2,0.9238446434079963,0.021101443341122517
76,3,0.9656986136721554,-0.015251130887482756
76,4,0.9354052217287628,0.052763534758178965
76,5,0.8813051783230128,0.015329430382982845
77,1,0.8441432951649909,-0.043833203860903724
77,2,0.9342643045486922,0.009705219040170299
77,3,0.9413323358879708,0.004405915103643854
77,4,0.9531941964403194,0.01900495704753391
77,5,0.8926943940475348,-0.027090925700530066
78,1,0.8429786039583169,-0.04311731116671291
78,2,0.9340071181865792,0.011269757862875318
78,3,0.9412062930875219,0.005783166636217363
78,4,0.9519502782472222,0.02023341044576399
78,5,0.8965917396632698,-0.034334421761443856
79,1,0.8389950651957095,-0.012340934391651182
79,2,0.917669583497386,0.026950778956590926
79,3,0.9456476232200172,0.019930214004087343
79,4,0.9387313387379279,0.05292364316834408
79,5,0.909243549689554,-0.02889027716667214
80,1,0.8366813358302122,-0.008099622473275225
80,2,0.9156147179620721,0.027025887208269705
80,3,0.955804875950093,0.005520648345861412
80,4,0.9384219008473318,0.05390724130815483
80,5,0.9117071070427301,-0.03233922406432632
81,1,0.8309193444691262,-0.02152514028946273
81,2,0.9345250896081098,0.01687559259378446
81,3,0.9686680417867967,-0.026996233793095348
81,4,0.953151865564071,0.03203302170795441
81,5,0.9106590140143895,-0.0655758726030673
82,1,0.8309914153099385,-0.021942991176277404
82,2,0.9344965716936814,0.01684663970264977
82,3,0.9748425297627987,-0.0361130299350938
82,4,0.9565548623010273,0.02839798589402731
82,5,0.9108468135436943,-0.06568989953755167
83,1,0.8266664747752163,-0.018278541337461984
83,2,0.9357116912610479,0.025109661000093375
83,3,0.9695877867674577,-0.0422540788077892
83,4,0.9473124209406784,0.04798812362542315
83,5,0.9073240568891535,-0.06370909416462123
84,1,0.8249727937129253,-0.016638385902457253
84,2,0.9318976971380649,0.03719619467405155
84,3,0.9641909796749871,-0.033850149909539606
84,4,0.9481387997853332,0.05713231439853317
84,5,0.914166729094696,-0.07556402763822345
85,1,0.826714333595225,-0.018365313319787413
85,2,0.9356437133565737,0.02505888629850017
85,3,0.9713554800575316,-0.045345435730343775
85,4,0.9500537194332141,0.04388351752294628
85,5,0.9072642848993696,-0.06358175277323652
86,1,0.8250468192850271,-0.016535602245418612
86,2,0.9312858011676622,0.03720263377694488
86,3,0.9663809774606945,-0.036460754006526264
86,4,0.950712049080736,0.05268150195836241
86,5,0.9140969971419031,-0.07538772518755787
87,1,0.8251022029887726,-0.01671349134679634
87,2,0.9316199295766341,0.036775697613349756
87,3,0.9652157239792827,-0.037506091097092575
87,4,0.950356713451597,0.05523599304225402
87,5,0.9151380584971018,-0.07719069899061815
88,1,0.8423660251328386,-0.0537780214500323
88,2,0.9267468892567167,-0.003325354452171414
88,3,0.9395864144571762,-0.0050118814056503425
88,4,0.9504814273910298,0.04651722005245851
88,5,0.8964632254856154,-0.03154059767584383
89,1,0.842054678817908,-0.05503570563211291
89,2,0.9267670664227627,-0.0032795951157238434
89,3,0.9470650317475534,-0.017635611585698596
89,4,0.9531012688104923,0.04274954755303939
89,5,0.896643053346681,-0.03184015027058251
90,1,0.8465841698686434,-0.051189959729684986
90,2,0.9337397745246289,-0.01190734587897313
90,3,0.9417285626397957,-0.00906713977385687
90,4,0.9468454069165788,0.05207922494767103
90,5,0.8926673186143724,-0.022614185440424484
91,1,0.8418763703940638,-0.05327505123007836
91,2,0.9395373991627923,-0.029427092824060974
91,3,0.9398404910306397,-0.005456412593143112
91,4,0.9523932696647429,0.03881098935705385
91,5,0.8985085607961579,-0.04415520714640819
92,1,0.8457921066382186,-0.05265677563623261
92,2,0.9342409404561809,-0.01174868702567533
92,3,0.9511026914469412,-0.024323493176178657
92,4,0.9490375566704453,0.048999197315061416
92,5,0.8926433399510327,-0.022584319860127877
93,1,0.8417742237538236,-0.054480501097281975
93,2,0.9397887829143394,-0.029543892110990955
93,3,0.9471490197429228,-0.017679651347369596
93,4,0.9563281893118324,0.03425971446517073
93,5,0.8987397187209789,-0.04519622545279245
94,1,0.8510685992290403,-0.049456440594680906
94,2,0.9318813956866137,-0.0066930990507581
94,3,0.9475757395879659,-0.018351209338536956
94,4,0.9520377228727663,0.04131384527163118
94,5,0.88775475884816,-0.02737561868764815
95,1,0.8456272625525572,-0.01299869825311828
95,2,0.9189821260080954,0.027164686295145457
95,3,0.9182217611390086,0.01936892832984949
95,4,0.9531106395765576,0.04682190128255248
95,5,0.9013510146183478,-0.02628225950416052
96,1,0.8454882914767571,-0.01495626929140581
96,2,0.9192860590651369,0.02723669864426459
96,3,0.9255005601183833,0.009110192586905597
96,4,0.9557536726062018,0.04212984853011914
96,5,0.9014858437089053,-0.02643492787663937
97,1,0.8445120852632535,-0.011790527814369733
97,2,0.9183291363576593,0.0278688006261133
97,3,0.9214781421713364,0.01690216350170448
97,4,0.9571962677413852,0.042143217317964665
97,5,0.9024352581371111,-0.025483736825391734
98,1,0.8444540124566884,-0.010827660280016804
98,2,0.917496184010219,0.02904807805437859
98,3,0.9182141384162081,0.02071962658016535
98,4,0.9552252709855439,0.04394703852525139
98,5,0.9074060458568313,-0.029951966616120762
99,1,0.8444428015726335,-0.013701261023959521
99,2,0.9186034612398628,0.027926512094625044
99,3,0.9276384036572263,0.007369341594433809
99,4,0.9597989369178379,0.0377429372915189
99,5,0.9027110354284643,-0.025625869273831814
100,1,0.8444376921657282,-0.01283489187816289
